day,strategy,benchmark
0,4999.348456070402,5000.0
1,4948.060170172088,4898.216071382274
2,4990.295668540904,4954.746771011069
3,4993.692095969731,4980.626553085563
4,4986.257001517813,4982.433425980549
5,5391.219720611425,5407.7349556373765
6,5416.971523777648,5429.280803288605
7,5398.8391414272755,5428.734238113249
8,5407.599106183996,5417.961553171016
9,5412.183293847707,5401.802047990905
10,5836.85893278088,5828.656362131097
11,5838.0014244188715,5779.372761930954
12,5856.7271631234835,5751.377932919008
13,5811.814158052633,5679.547758900526
14,5920.704892724737,5788.5082460419535
15,6305.524538604694,6216.419460931259
16,6302.257516173639,6200.025765499673
17,6359.3566801342695,6198.593194896946
18,6302.428785630446,6102.831908239059
19,6346.786535385646,6107.1312647896075
20,6753.1556212349005,6516.984916317661
21,6772.897631257318,6549.815912745429
22,6763.671594190144,6532.541205953669
23,6781.321416640983,6579.783659377992
24,6728.249972343963,6512.595417702612
25,7156.459429858752,6959.93191095089
26,7172.128988162512,7018.6622450390605
27,7174.710001534588,6979.677251298229
28,7171.069735672786,6946.1612371746605
29,7200.107063682236,6950.110677072771
30,7535.194962747494,7288.85004907216
31,7542.014813577374,7340.275133707759
32,7495.2514389327425,7299.349085834352
33,7467.293674247134,7203.675531437134
34,7500.380835745016,7266.77990927834
35,7890.746340319578,7655.101271770757
36,7899.740659216143,7645.492872440387
37,7823.637756229164,7529.396454091297
38,7798.350124048516,7486.77924568465
39,7841.942718929883,7562.971195674214
40,8275.967440842345,7982.866006384476
41,8210.57539339875,7871.475924958491
42,8227.083309883605,7852.077928158403
43,8108.305060613124,7739.512298846887
44,8175.473468142226,7820.777326931212
45,8576.305830758303,8194.52415249877
46,8603.814404178327,8240.19026028918
47,8569.06295304571,8093.030810616289
48,8494.078403995954,7955.029391882955
49,8486.754335994288,7928.432050354067
50,9014.202374419277,8558.895124102653
51,9028.311863049616,8623.381809436758
52,9061.439960912121,8631.146944239823
53,9132.496767077868,8671.94462673156
54,9108.214137689456,8675.76092500914
55,9747.988503808752,9296.728691917728
56,9800.595409285408,9350.362367334275
57,9782.64063286054,9344.174479715595
58,9910.246740747763,9435.489469697764
59,10002.73510294157,9550.459783726277
60,10383.197460719206,10025.822412857524
61,10456.106628909807,10050.458982798806
