day,strategy,benchmark
0,4999.386492591896,5000.0
1,4935.472873013714,4898.216071382274
2,4993.867443726638,4954.746771011069
3,5003.437668821455,4980.626553085563
4,4989.181682055276,4982.433425980549
5,5394.770071447758,5407.7349556373765
6,5428.659508371044,5429.280803288605
7,5411.900338929754,5428.734238113249
8,5427.773395617929,5417.961553171016
9,5399.289191440498,5401.802047990905
10,5820.058359558425,5828.656362131097
11,5800.6978787380485,5779.372761930954
12,5799.712309578872,5751.377932919008
13,5776.247145479547,5679.547758900526
14,5893.590460000395,5788.5082460419535
15,6315.276715859907,6216.419460931259
16,6332.530473323866,6200.025765499673
17,6365.783632364373,6198.593194896946
18,6287.234892013163,6102.831908239059
19,6327.528180277671,6107.1312647896075
20,6738.266253532631,6516.984916317661
21,6741.4354596435405,6549.815912745429
22,6724.645161350111,6532.541205953669
23,6771.375247521981,6579.783659377992
24,6708.6436884108025,6512.595417702612
25,7155.576200060636,6959.93191095089
26,7193.145061665167,7018.6622450390605
27,7161.1364101297695,6979.677251298229
28,7119.76877244382,6946.1612371746605
29,7127.216588854142,6950.110677072771
30,7429.367872649033,7288.85004907216
31,7458.090801751417,7340.275133707759
32,7396.273749583922,7299.349085834352
33,7304.1985654641885,7203.675531437134
34,7364.263785805495,7266.77990927834
35,7764.34649985976,7655.101271770757
36,7751.138244410204,7645.492872440387
37,7655.936821872872,7529.396454091297
38,7624.842410599524,7486.77924568465
39,7680.701584266581,7562.971195674214
40,8099.246053902052,7982.866006384476
41,8008.804830350933,7871.475924958491
42,8003.951207060449,7852.077928158403
43,7861.306992767033,7739.512298846887
44,7934.004745522071,7820.777326931212
45,8331.015857622946,8194.52415249877
46,8368.873606415436,8240.19026028918
47,8268.467118143948,8093.030810616289
48,8169.822043382803,7955.029391882955
49,8116.828715155696,7928.432050354067
50,8689.758997433424,8558.895124102653
51,8736.989809071223,8623.381809436758
52,8771.851562456768,8631.146944239823
53,8806.601326444055,8671.94462673156
54,8814.566920947727,8675.76092500914
55,9407.859968777559,9296.728691917728
56,9465.903793705518,9350.362367334275
57,9463.341529653753,9344.174479715595
58,9532.299868161574,9435.489469697764
59,9614.71157471882,9550.459783726277
60,10045.544477969355,10025.822412857524
61,10069.053251916086,10050.458982798806
