date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype
0,SWKS,buy,1.9776097009789906,56.67135773391724,112.07382682224548,buy,,0.0,0,False,defensive_income
0,KT,buy,5.6675299279952975,19.51728577079773,110.61480121923292,buy,,0.0,0,False,quality_compounder
0,HOMB,buy,3.7908709673012053,28.54863069648743,108.22417526351818,buy,,0.0,0,False,defensive_income
0,NNN,buy,2.600060713199986,41.50683127212525,107.92028132007346,buy,,0.0,0,False,defensive_income
15,O,buy,0.8843063393744249,62.37511353607178,55.15870831914778,buy,,0.0,0,False,defensive_income
25,T,buy,1.5430937395515523,28.09563914909363,43.35420487966588,buy,,0.0,0,False,defensive_income
28,HOMB,sell,13.002578583572912,27.240570068359375,353.7017762610017,,trailing_stop,-20.675097672582183,28,False,defensive_income
31,SWKS,sell,8.545864378502545,55.7951774597168,476.1504743178586,,trailing_stop,-20.667076039445988,31,False,defensive_income
35,CTRE,buy,2.164883171443821,39.60003264312744,85.72944425773258,buy,,0.0,0,False,defensive_income
38,KT,sell,24.273809688509058,21.219999313354492,514.3690986077681,,trailing_stop,-2.4717764540228018,38,False,quality_compounder
40,SWKS,buy,2.1487425924331522,53.32186451339722,114.57496138788645,buy,,0.0,0,False,defensive_income
40,HOMB,buy,4.227313462897145,26.245573812103274,110.94826751736493,buy,,0.0,0,False,defensive_income
43,O,sell,4.919021573230329,60.420066833496094,296.7915215528916,,trailing_stop,-18.49526574996355,28,False,defensive_income
45,KT,buy,5.444815334042167,21.68030961799622,118.04528225484769,buy,,0.0,0,False,quality_compounder
46,NNN,sell,13.958755494397948,41.411094665527344,577.2380789081953,,trailing_stop,-19.81222226959153,46,False,defensive_income
49,CTRE,sell,2.164883171443821,36.26000213623047,78.38877028545261,,trailing_stop,-7.340673972279973,14,False,defensive_income
50,DVN,buy,2.7198736162522517,50.390447694396975,137.05564919512943,buy,,0.0,0,False,quality_compounder
55,NNN,buy,2.5086067591793753,43.009714379882816,107.89446020374841,buy,,0.0,0,False,defensive_income
57,T,sell,1.5430937395515523,26.459999084472656,40.77309657327945,,trailing_stop,-2.581108306386426,32,False,defensive_income
