day,strategy,benchmark
0,4999.385022532289,5000.0
1,5029.7192909346295,5038.65331890529
2,5008.676282306642,5012.691188500661
3,5022.898166567919,5011.695558656048
4,5039.526820361096,5033.095416278919
5,5411.810778770624,5412.358796549432
6,5262.445526637446,5251.0517034662425
7,5230.153027271417,5249.439634166318
8,5278.37631831596,5312.490073965145
9,5314.633904428609,5344.302428058124
10,5753.609709224313,5803.704705506138
11,5759.414806476161,5804.091386825633
12,5709.972013225145,5742.994543040123
13,5657.578069764857,5677.45713943415
14,5651.717714855622,5656.802858568014
15,6040.038052476341,6042.90384656469
16,6111.683888890515,6118.460489207526
17,6135.458334155173,6153.706900739398
18,6085.994933909996,6084.144663326311
19,6083.092832041053,6093.034508365946
20,6391.784680918984,6400.008584199941
21,6416.146632069136,6409.932099511
22,6451.572684355937,6418.751712492809
23,6538.019697711445,6535.508669674237
24,6554.838594616901,6522.939748348431
25,7014.943854893299,6988.43044367763
26,7085.048538213429,7052.398176371645
27,7072.898991729262,7092.043007297892
28,7112.038965323384,7130.7515343155455
29,7088.890650754114,7109.93560844052
30,7395.210535364274,7409.362954958134
31,7400.211822949422,7473.026754651039
32,7368.307022532603,7439.525011000495
33,7408.183556678616,7479.453529154431
34,7370.563777985335,7439.649780443569
35,7703.397846701099,7789.5835536756595
36,7736.266665923174,7841.838626150014
37,7797.728472342156,7873.633361805416
38,7802.737639457489,7900.999072386903
39,7735.4610382509745,7828.678232825996
40,8182.918654390545,8281.843478425395
41,8200.54826243892,8288.141237109166
42,8154.2369146156925,8261.442742096788
43,8235.884754517934,8348.66178239255
44,8235.01342784343,8348.251427626401
45,8679.475987767542,8772.760798659043
46,8695.031545436239,8793.420152924356
47,8695.50729293979,8756.837212263887
48,8574.6510478078,8607.058670530618
49,8539.57150736672,8567.892422241857
50,8917.620999175058,8925.282948242211
51,8919.505581555084,8929.7879923747
52,8788.274863363884,8787.251334903736
53,8897.318032297206,8924.382683436215
54,8797.29560331623,8768.027705213699
55,9123.093580249979,9064.241495476896
56,9236.232175379448,9161.662224644228
57,9091.647223940872,8999.032615947455
58,9176.059273879431,9049.470960866305
59,8998.100746047434,8808.433271498714
60,9322.362818225378,9135.208158871543
61,9344.572801936438,9183.685648713395
62,9259.556498606365,9061.263274171017
63,9431.73120605555,9248.431175991842
64,9523.61475790773,9319.747818216842
65,9847.057587478823,9619.016838600235
66,9898.76929074424,9723.775474362923
67,9865.010633528887,9695.658364389283
68,9809.890285008667,9698.855034761229
69,9947.034190931803,9872.548577173158
70,10320.151187289825,10296.278891405556
71,10269.801227824388,10173.35950194028
72,10219.938924375736,10146.342685681306
73,10100.267293148136,9942.012755771399
74,10168.011157665576,10008.751217620504
75,10577.172471603059,10437.020622686774
76,10606.013794712006,10503.069471516708
77,10228.108518796415,9985.470886351746
78,9739.024724879642,9400.890792624486
79,9645.567360499354,9384.146564079641
80,9879.289546914566,9637.164214361012
81,10559.811423732308,10649.252935575909
82,10264.28414402073,10182.61218543874
83,10412.518218945279,10364.297557418891
84,10501.411924531089,10464.847345976163
85,10919.423781534453,10835.53730070846
86,10773.736224075292,10594.683378760534
87,10829.396032553155,10609.801217443328
88,10640.828306685471,10357.259899713714
89,10848.126265528128,10626.731952501501
90,11363.48886590228,11191.398188820933
91,11537.19995962084,11426.966121499312
92,11548.698372657522,11509.527677781374
93,11595.16090729036,11513.916284778894
94,11639.651097340087,11586.447661057511
95,12084.960373656239,11991.045310787638
96,12115.29115835838,12076.024838279029
97,12279.924468116908,12255.28426505578
98,12233.04267423548,12185.008856311428
99,12183.02571633098,12083.159973522143
100,12599.057742799163,12533.97762149874
101,12605.688656967968,12621.311751851994
102,12643.088830527444,12605.230744065151
103,12879.222768269086,13021.8008255597
104,12917.100912837788,13107.796021033771
105,13288.675486496802,13524.547185722036
106,13410.356080534879,13590.605704966121
107,13495.792805733669,13676.689664888796
108,13506.789779494364,13691.649420757964
109,13479.030286001145,13645.616342192467
110,13652.051270445434,13815.67688032843
111,13605.734201026326,13821.129196831162
112,13568.422180034475,13726.787732191458
113,13805.93052967802,14012.17684523789
114,13714.96855345272,13931.110585996139
115,14160.990915131048,14386.103475553067
116,14122.962217471206,14370.010231380931
117,14193.74152191179,14450.958105639953
118,14291.7017824868,14533.364486595832
119,14298.495488309782,14529.464599236124
120,14703.302141710661,14859.245554425193
121,14829.273707884266,15011.834847742968
