date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype
0,KT,buy,7.61639739600271,15.232662566757202,116.01801150763751,buy,,0.0,0,False,quality_compounder
0,SWKS,buy,1.356699078446809,82.50264080200196,111.93125674550416,buy,,0.0,0,False,defensive_income
0,HOMB,buy,3.68491897749413,29.24650958976746,107.77101821279818,buy,,0.0,0,False,defensive_income
0,NNN,buy,2.6950430637234355,38.9477955619812,104.96598627663585,buy,,0.0,0,False,defensive_income
15,HOMB,sell,9.150502092268106,26.64725685119629,243.49440947867916,,trailing_stop,-17.384635717125576,15,False,defensive_income
15,DVN,buy,2.1563461731454496,32.37085168991089,69.80276216299826,buy,,0.0,0,False,quality_compounder
18,NNN,sell,8.59676233735778,35.52686309814453,304.9884162484896,,trailing_stop,-21.90612531743119,18,False,defensive_income
20,CTSH,buy,1.066689711642198,73.33231143951417,78.22282214347123,buy,,0.0,0,False,quality_compounder
20,O,buy,1.6102527116893859,48.0732585800171,77.41009498821757,buy,,0.0,0,False,defensive_income
25,HOMB,buy,2.4169688190777783,29.16974783935547,70.50237098808357,buy,,0.0,0,False,defensive_income
25,T,buy,3.1607076933381775,21.163133794784546,66.89047980032069,buy,,0.0,0,False,defensive_income
30,NNN,buy,1.5192611542245935,37.47806656265259,56.93897066408172,buy,,0.0,0,False,defensive_income
35,DVN,sell,5.757916200173829,32.664337158203125,187.81520616863014,,trailing_stop,-10.086277018746898,20,False,quality_compounder
35,SWKS,sell,6.148529023323865,80.11234283447266,491.88346275316496,,trailing_stop,-26.97672530561647,35,False,defensive_income
45,SWKS,buy,1.124742694491544,63.09135535125733,70.96154101689666,buy,,0.0,0,False,defensive_income
59,HOMB,sell,17.553265979649947,27.21001434326172,476.95594461065474,,trailing_stop,-29.622306037446833,34,False,defensive_income
61,CTSH,sell,2.612193322306492,77.55886840820312,202.31511988015797,,trailing_stop,-7.20235437556579,41,False,quality_compounder
65,PDD,buy,0.613354695405967,127.03857558868317,77.91970683500467,buy,,0.0,0,False,quality_compounder
65,MDT,buy,0.8697374731551301,88.79911309270989,77.23191623967013,buy,,0.0,0,False,defensive_income
65,AMGN,buy,0.2442620959014841,307.0956493365747,75.01182694917894,buy,,0.0,0,False,quality_compounder
68,SWKS,sell,2.4105520032969334,63.884742736816406,153.66468013180926,,weak_value,-0.7541836036571681,23,False,defensive_income
