day,strategy,benchmark
0,4999.376291224111,5000.0
1,4937.9360807182,4898.216071382274
2,4987.0615979238255,4954.746771011069
3,4995.285625494416,4980.626553085563
4,4988.981897846548,4982.433425980549
5,5391.895851859788,5407.7349556373765
6,5416.855411744673,5429.280803288605
7,5411.367871743154,5428.734238113249
8,5416.351739264737,5417.961553171016
9,5395.986004385084,5401.802047990905
10,5811.370775176902,5828.656362131097
11,5748.345839359458,5779.372761930954
12,5766.103650708853,5751.377932919008
13,5723.957684251437,5679.547758900526
14,5825.727523830183,5788.5082460419535
15,6246.163023155277,6216.419460931259
16,6258.261401337431,6200.025765499673
17,6292.220315202387,6198.593194896946
18,6216.515685378454,6102.831908239059
19,6255.829036609461,6107.1312647896075
20,6642.7338968681315,6516.984916317661
21,6674.036033896435,6549.815912745429
22,6672.107029564159,6532.541205953669
23,6696.519738276879,6579.783659377992
24,6663.440110548754,6512.595417702612
25,7101.011081413016,6959.93191095089
26,7122.139255402446,7018.6622450390605
27,7088.812841821917,6979.677251298229
28,7070.7805405744875,6946.1612371746605
29,7079.536867249539,6950.110677072771
30,7400.96908531223,7288.85004907216
31,7442.429196432912,7340.275133707759
32,7395.534949496084,7299.349085834352
33,7318.644373867262,7203.675531437134
34,7364.611564807818,7266.77990927834
35,7753.447937218699,7655.101271770757
36,7759.971881828391,7645.492872440387
37,7684.141859347385,7529.396454091297
38,7661.59272631774,7486.77924568465
39,7723.054638657165,7562.971195674214
40,8153.468723299923,7982.866006384476
41,8079.1771161368415,7871.475924958491
42,8090.868939473696,7852.077928158403
43,7987.204417706444,7739.512298846887
44,8053.0336351472615,7820.777326931212
45,8467.922671904606,8194.52415249877
46,8505.864250870249,8240.19026028918
47,8419.983697084399,8093.030810616289
48,8352.966238046813,7955.029391882955
49,8323.405147646306,7928.432050354067
50,8857.019330521107,8558.895124102653
51,8861.073666728287,8623.381809436758
52,8897.056040498755,8631.146944239823
53,8944.92936269665,8671.94462673156
54,8976.154119059996,8675.76092500914
55,9586.042266651988,9296.728691917728
56,9624.010440642272,9350.362367334275
57,9612.91954290275,9344.174479715595
58,9698.303441238133,9435.489469697764
59,9818.285527672804,9550.459783726277
60,10213.84795585135,10025.822412857524
61,10252.005114403652,10050.458982798806
