date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
0,GPK,buy,4.081940699993551,28.525093533325197,116.43774026480295,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,TAK,buy,8.432758232863575,13.175234115600587,111.1035639582359,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,IRT,buy,5.5444041284068,19.991507178497315,110.84099493353469,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,CVX,buy,0.7307486592584546,147.4483418426514,107.74767811139978,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,GPK,sell,10.076531309326251,25.911508560180664,260.7325899003457,,trailing_stop,-19.78507281252689,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
15,DVN,buy,2.2546424722598672,32.37085550994873,72.98470569611776,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
17,IRT,sell,17.60794323619609,18.297407150268555,321.72865488243707,,trailing_stop,-23.027302429594727,17,False,defensive_income,defensive_income,defensive_income,archetype_rule
20,MNRO,buy,4.01974115355664,20.37088659667969,81.88569118710872,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
20,BDX,buy,0.4470223552048527,178.92175586242678,79.98202470300967,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
25,GPK,buy,2.721199842286948,27.062047690200806,73.6412399065363,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
25,SD,buy,5.81162405171057,11.68155825405121,67.88882491070214,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
35,MNRO,sell,4.01974115355664,17.19428825378418,69.01982487651202,,trailing_stop,-12.865866310596687,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
35,IRT,buy,2.8968148287684192,18.33256024475098,53.10603236628504,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
40,INVH,buy,1.5058927277411167,30.154089460372926,45.408824030030644,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
40,TRNO,buy,0.6952534046858053,64.13441668395997,44.58967155706129,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
50,EXEL,buy,1.0154275649227205,36.971686166381836,37.54206925501614,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
54,SD,sell,10.801123162555335,10.235115051269531,110.39596721813372,,trailing_stop,-13.30273599062653,29,False,defensive_income,defensive_income,defensive_income,archetype_rule
55,GPK,sell,12.471243158864047,24.992319107055664,311.2489292838519,,trailing_stop,-18.825723752148065,30,False,defensive_income,defensive_income,defensive_income,archetype_rule
56,DVN,sell,5.910707625012748,32.577232360839844,192.28491942302426,,trailing_stop,-10.84062973588803,41,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
60,MNRO,buy,4.005326674949211,15.515568839263917,62.144921748914534,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
65,LKQ,buy,1.5146625400793494,40.3184992109061,61.06892042697827,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
65,SUI,buy,0.48012035249960894,123.61131081413491,59.348306121021174,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
65,AMGN,buy,0.19164780257497063,307.09568004028597,58.85421225998707,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
65,BP,buy,1.8107098020126267,31.99903202737714,57.94096094688776,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
70,AXIA,buy,7.3138918653084435,6.699334986571033,48.99821166125813,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
70,CRBG,buy,1.5188226090967505,32.21222303422779,48.9246526336523,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
71,TRNO,sell,0.6952534046858053,61.31311798095703,42.56670131715433,,weak_value,-2.022970239906954,31,False,quality_compounder,quality_compounder,quality_compounder,global_rule
71,BDX,sell,0.4470223552048527,175.129638671875,78.17588616062412,,weak_value,-1.806138542385554,51,False,quality_compounder,quality_compounder,quality_compounder,global_rule
75,MNRO,sell,4.005326674949211,13.716971397399902,54.84209983266413,,trailing_stop,-7.302821916250409,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
75,DVN,buy,1.5298030674712955,36.68265941925643,56.1172449025833,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
78,DVN,sell,1.5298030674712955,28.570083618164062,43.62145787282276,,stop_loss,-12.495787029760542,3,False,quality_compounder,quality_compounder,quality_compounder,global_rule
78,IRT,sell,17.40686230167321,18.236459732055664,316.95311589623395,,trailing_stop,-24.115164958686876,43,False,defensive_income,defensive_income,defensive_income,archetype_rule
78,CVX,sell,4.447792099142892,135.86538696289062,603.3417765849234,,trailing_stop,-30.126289901747214,78,False,defensive_income,defensive_income,defensive_income,archetype_rule
78,CRBG,sell,1.5188226090967505,24.87350082397461,37.70698210527142,,stop_loss,-11.217670528380872,8,False,defensive_income,defensive_income,defensive_income,global_rule
79,INVH,sell,8.549168464010531,30.147621154785156,257.3602147758474,,trailing_stop,-14.685410561931633,39,False,defensive_income,defensive_income,defensive_income,archetype_rule
79,BP,sell,5.178415358950236,25.368682861328125,131.14752302392273,,stop_loss,-33.96412858451865,14,False,defensive_income,defensive_income,defensive_income,global_rule
80,EXEL,sell,4.467756535082904,34.130001068115234,152.21252984601534,,trailing_stop,-15.268932058944415,30,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
80,SUI,sell,0.48012035249960894,107.2691650390625,51.42080607748629,,trailing_stop,-7.927500043534884,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
80,LKQ,sell,2.94229044298912,36.72397994995117,107.88927517208366,,trailing_stop,-11.719397371310052,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
80,FIS,buy,2.667534820780883,66.54198020626869,177.50304924393402,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
