day,strategy,benchmark
0,4999.334539439695,5000.0
1,5023.994738026577,5038.65331890529
2,5003.473699890163,5012.691188500661
3,5011.635561700867,5011.695558656048
4,5018.62118702334,5033.095416278919
5,5391.9422203106005,5412.358796549432
6,5249.996357927877,5251.0517034662425
7,5221.8036734148145,5249.439077704703
8,5265.488688539707,5312.490073965145
9,5294.147156919789,5344.302428058124
10,5726.90780123357,5803.704705506138
11,5732.1184410966525,5804.091386825633
12,5696.617364117126,5742.994543040123
13,5667.277155483034,5677.45713943415
14,5672.2999002270335,5656.802858568014
15,6079.190048567241,6042.90384656469
16,6147.104357504207,6118.460489207526
17,6168.380160667124,6153.706260721757
18,6143.445096262332,6084.145303343953
19,6153.172332565601,6093.0332283306625
20,6500.138112922781,6400.009224217582
21,6533.009413727162,6409.932056777065
22,6562.631409506959,6418.751669700075
23,6647.605339388968,6535.5093087885225
24,6668.187844070838,6522.939704861094
25,7107.5244360657725,6988.4297170682585
26,7144.893769505702,7052.398173872557
27,7133.846481848263,7092.043004784756
28,7153.200499844474,7130.752255921646
29,7127.844939040808,7109.935605921044
30,7445.075860962614,7409.362228341344
31,7452.290827594953,7473.026028367975
32,7429.9766003862105,7439.525049998525
33,7474.80199579324,7479.454333818477
34,7407.370091252989,7439.649053985543
35,7766.201605577757,7789.584357868606
36,7780.371086340438,7841.838623433792
37,7829.614347132827,7873.634165969249
38,7797.188550988729,7900.999876541258
39,7762.258780271602,7828.676616332197
40,8200.103731750803,8281.843475695317
41,8203.589120593446,8288.141234377013
42,8166.90005011615,8261.441043692583
43,8231.029133835535,8348.661779640444
44,8231.271213748309,8348.251424874432
45,8666.928510884149,8772.759948058569
46,8677.498570400812,8793.419302412769
47,8665.695128040996,8756.836361594902
48,8556.38651419973,8607.058707562343
49,8522.949606328277,8567.894235795331
50,8906.220849124245,8925.283873267228
51,8905.950462523197,8929.788917397193
52,8806.622025824647,8787.251329980463
53,8896.965785667988,8924.381748410486
54,8776.864184342652,8768.027700301196
