day,strategy,benchmark
0,4999.329377561983,5000.0
1,5055.842015469855,5057.705396010472
2,5069.007500703905,5084.122954665852
3,5063.255077821856,5085.967374010217
4,5064.2955886428945,5111.794664280905
5,5488.487604619157,5532.161407467189
6,5487.350239995219,5531.6044853113235
7,5488.591105430103,5520.627666456029
8,5472.859428723868,5504.161951353021
9,5486.1242806380615,5531.525133640514
10,5829.929254334042,5884.7538957691995
11,5833.668509944191,5856.248608798509
12,5796.148170359265,5783.108682754387
13,5900.28668574133,5894.055956377933
14,5918.353813304802,5922.476104605336
15,6327.903480835306,6306.857584962328
16,6358.822162605582,6305.400329926054
17,6268.892798018551,6207.988993272459
18,6299.208125301164,6212.362431463986
19,6297.258649079924,6222.385869951144
20,6728.668639287112,6653.732747516727
21,6723.224946605384,6636.183966937961
22,6746.070996855418,6684.175950775364
23,6689.824158537684,6615.921726559137
24,6719.4840787951,6664.0092422198095
25,7137.423225567895,7120.242477568911
26,7109.075524732923,7080.693258824636
27,7107.781663349758,7046.692171564724
28,7143.014072511742,7050.698771219097
29,7061.550587215717,6988.551525709339
30,7487.389764894984,7437.85791166464
31,7463.674607257701,7396.387786441332
32,7386.071669070396,7299.44233268816
33,7435.244498393499,7363.385630103744
34,7406.020091700235,7351.551734943011
35,7846.4952715627,7742.324339738235
36,7780.975431212313,7624.75754050928
37,7769.408237119265,7581.600577911374
38,7830.142416447404,7658.757511903521
39,7879.496921637947,7678.904293774418
40,8220.836294555502,7971.755586297455
41,8228.33588148708,7952.110466268088
42,8117.072164722198,7838.110792910274
43,8196.778194211884,7920.411107079786
44,8185.6039182693075,7893.823477017137
45,8618.450888084542,8337.81385242777
46,8513.717844768524,8188.910967999078
47,8429.862008510092,8049.274611989854
48,8387.719056025111,8022.362165112743
49,8529.769871681256,8255.555592458026
50,8940.708498486543,8717.756777077035
51,8962.859795523736,8725.60689412511
52,9034.263630631662,8766.85106965752
53,9047.67690759503,8770.709133803108
54,9337.919529067807,8994.095189303387
55,9806.9237740676,9445.982944451926
56,9791.122950057756,9439.731776998518
57,9922.839689753218,9531.980590900936
58,10070.87975261033,9648.12663773497
59,10047.071277929474,9724.259955509879
60,10487.885151184422,10148.15549251978
61,10638.678674077006,10270.802904454926
