day,strategy,benchmark
0,4999.653236563036,5000.0
1,4967.677552859225,4974.237034420272
2,4985.75900364213,4973.248531026683
3,5010.9306474407795,4994.484734040427
4,4983.245576493137,4973.907703750085
5,5252.967961325931,5225.667480140696
6,5234.425636833519,5224.063203780061
7,5273.034337672491,5286.8094038472145
8,5315.914537894398,5318.468526918509
9,5351.121903473154,5377.582538981035
10,5771.515386116181,5777.940829214149
11,5722.194866533654,5717.118664654879
12,5664.11121180744,5651.877732268655
13,5648.025350328504,5631.315915101623
14,5652.83711089878,5617.479525632976
15,6114.968865178354,6087.71693199399
16,6172.261878897699,6122.786876941634
17,6117.068404972617,6053.574170367159
18,6103.19902791288,6062.417436010098
19,6018.218988831715,5969.860214766905
20,6406.776701779204,6379.116764733475
21,6427.138830892821,6387.893977995222
22,6525.633758386109,6504.089633642203
23,6533.195613368288,6491.581815997746
24,6600.884961124901,6556.756310229965
25,7070.275947886674,7016.773452819647
26,7095.472321577763,7056.218020501152
27,7119.061124048342,7094.731734426456
28,7106.072782196947,7074.020238350979
29,6951.420201481277,6973.955620984478
30,7396.704814904686,7433.878250827365
31,7375.450815866951,7400.55277222907
32,7458.460330622998,7440.272119213553
33,7416.121947480184,7400.674603709574
34,7336.26025418776,7350.872178819899
35,7806.323637018515,7800.183470553794
36,7855.099750994434,7831.810121234986
37,7867.683936898986,7859.029667769739
38,7812.896905948771,7787.092982732192
39,7869.258689384661,7839.975824674409
40,8269.219589359092,8245.939982553153
41,8253.660783104595,8219.374904826354
42,8325.650845141532,8306.151515694379
43,8346.803508481906,8305.743250441154
44,8387.939033152188,8330.126977042259
45,8773.390719582374,8749.743953755002
46,8761.120941865936,8713.342717570686
47,8639.092683388231,8564.308113612055
48,8544.582619006938,8525.33728481008
49,8509.431907291968,8482.939448585106
50,8947.281759011112,8887.220335082293
51,8767.305152394501,8745.364065201122
52,8830.956643215348,8881.840792862866
53,8721.084108901725,8726.231147579343
54,8701.481002871,8622.939679241947
55,9210.622160904424,9115.618306717686
56,9071.1538483931,8953.806045529349
57,9137.169874489473,9003.989928219298
58,8933.124053864116,8764.16365143778
59,8905.91102307177,8691.308491355985
60,9356.370133268249,9137.429376001031
61,9280.150564029444,9015.622618044807
62,9433.520116317879,9201.846761901465
63,9522.39712580934,9272.804189495417
64,9455.004984458115,9172.580581518154
65,9914.959274637245,9672.477187410741
66,9871.99002771657,9644.50840767015
67,9829.859675866617,9647.6903263138
68,9943.347065964981,9820.465446080441
69,9933.196678011464,9844.07162843739
70,10215.314022500603,10126.55185127712
71,10167.784009370585,10099.65824287888
72,10014.12120343533,9896.267358040102
73,10002.360827759909,9962.699848352038
74,10031.662049247478,9990.8391827648
75,10480.330458046232,10454.064450848704
76,10082.81666292901,9938.878580790017
77,9625.928372370667,9357.028867775503
78,9589.586315478844,9340.36219251365
79,9456.762567649539,9194.065630231285
80,10547.15175871294,10559.619282937665
81,10232.642006857252,10096.908523812288
82,10390.605239197808,10277.064689214963
83,10450.48042185976,10376.76698364785
84,10473.313880547905,10347.703634707548
85,10729.242145319662,10517.69572796461
86,10760.355450429633,10532.70123692328
87,10613.287233108367,10281.994484944202
88,10797.834363899181,10549.508938635547
89,10934.060546862242,10712.977332616561
90,11530.186144619542,11338.475002476525
91,11580.522680090702,11420.39848670257
92,11605.812928976458,11424.754388947495
93,11635.878977750845,11496.722805579684
94,11653.258087684777,11501.286131741035
95,12085.1520144675,11982.794768134228
96,12298.912718429947,12160.66892097779
97,12258.27513000499,12090.936064477415
98,12202.705034808727,11989.874817484477
99,12209.615824190962,12040.2988097419
100,12658.991985109733,12524.193089554441
101,12722.079861541204,12508.23582215175
102,13017.262053566337,12921.599105512321
103,13129.668061892333,13006.933952156882
104,13137.218390853497,13023.556219727445
105,13576.336241559224,13487.169095868
106,13604.781153311185,13572.5964611488
107,13608.973730810607,13587.442358404973
108,13602.277308572035,13541.758227192182
109,13430.36041855625,13313.570243340164
110,13806.157885029384,13718.824404926077
111,13755.260557454094,13625.181261224596
112,13975.851071032583,13908.459360154347
113,13886.77132508265,13827.993158018218
114,13924.773546486353,13882.576082079548
115,14245.27320759164,14267.04902020415
116,14331.483668746774,14347.415399648926
117,14441.816129722447,14429.231329811664
118,14497.268426893266,14425.357891192114
119,14495.948542051305,14355.643467951106
120,14992.167871404312,14903.061281585946
121,15064.83595843232,14916.493155700007
122,15148.7062108134,15001.06466992863
123,15132.866395978974,14958.282914719104
124,15192.469222546039,15017.730513047401
125,15399.694630214743,15249.832854420556
126,15563.047729368176,15394.921168500374
127,15423.673243369733,15263.369489256283
128,15441.392093985654,15261.07027984453
129,15380.600267439688,15225.23068293032
130,15874.826182774614,15775.614432678634
131,16135.529709725513,15949.89257817122
132,16110.730394401031,15958.828715847781
133,16249.016222615604,16083.690327406353
134,16298.44118919802,16163.599428903737
135,16780.104831784276,16640.87930285732
136,16800.77202105942,16635.49465185561
137,16912.300461211733,16710.907949089848
138,17015.43974880282,16842.614722128914
139,16855.11968552809,16717.101624010535
140,17307.47247153865,17107.945396337367
141,17379.69589384108,17210.535359633035
142,17438.887928042022,17259.072710845296
143,17368.57554618388,17198.401446211385
144,17385.150664326895,17231.2197098069
145,17773.633839264297,17557.586139228988
146,17792.31850337982,17616.284505272222
147,17883.25222194327,17724.090705000235
148,17830.073215204422,17711.109352289717
149,17858.411567250354,17744.69271799993
150,18247.21746207944,18147.232359062793
151,18383.42698877045,18301.61890835747
152,18330.92421833168,18307.679482309555
153,18331.54399183708,18385.015745293105
154,18295.638627845412,18380.401040976714
155,18699.90956512063,18731.920001865277
156,18700.962538211592,18708.33031411055
157,18542.596097541624,18638.151129166
158,18341.987158821154,18332.664944993812
159,18603.07130812818,18611.316203148177
160,18970.813773016496,18916.959267139482
161,18989.357375989217,19061.85711213045
162,19049.33892935522,19045.890443204513
163,19131.161986715233,19194.402158563225
164,19091.3795575687,19156.444467286623
165,19740.997447539678,19760.38431343188
166,19850.20534760826,19828.027022739858
167,19826.34522213872,19829.872236817842
168,19744.71964270117,19783.444758088524
169,19775.09691961454,19779.141151100488
170,20016.811360011012,20071.83485548854
171,19973.433886473817,20018.50231165698
172,19916.94561496158,19938.19163791953
173,20255.042786040158,20244.378253928935
174,20175.317946692936,20155.281488210112
175,20637.93458307766,20639.67238444353
176,20683.342889896176,20686.700152107805
177,20754.561686411285,20759.961230249573
178,20580.501725466707,20636.15347393285
179,20455.08681710677,20483.233477554622
180,20925.796186194777,20994.243584509903
181,21077.830737617278,21169.704060187145
182,21163.02780713085,21108.387443140702
183,21241.323194873556,21160.24710870881
184,21240.775337516294,21209.163897845745
185,21687.240439227076,21670.47650005395
186,21876.691104980622,21850.56185146388
187,21841.670679883457,21843.25037065335
188,21998.30843868291,21959.54484151467
189,21982.528424176977,21929.309056255122
190,22368.551449523784,22302.063308742425
191,22642.51988738063,22406.268476113302
192,22590.67228060331,22517.24391805796
193,22720.809620296634,22623.773178453856
194,22682.72895749526,22500.621238375432
195,23018.40261514729,22829.032509138826
196,22913.360220187253,22723.710824993665
197,23021.345548169735,22853.898244863885
198,23112.057668037494,22918.126073540476
199,23192.78881454689,23004.45560082803
200,23711.904253327983,23482.844880393644
201,23830.58439069204,23509.89034531478
202,23854.668872537655,23509.54316624826
203,23993.98757484791,23593.85376961985
204,23786.00840720093,23506.37973959866
205,24411.81163952728,24046.549514020884
206,24324.785647014738,23976.886458587018
207,23618.52854006315,23328.843297828313
208,24086.529434607673,23686.802811896356
209,24026.24991825259,23657.86571546267
210,24633.74787819285,24162.897551464805
211,24555.548573886957,23998.341924087763
212,24572.087735846122,24134.563720964663
213,24824.14845518939,24385.57465722516
214,24735.532440665378,24385.20897309814
215,24945.786963201448,24658.434759429638
216,25148.27745577585,24804.65659448109
217,25376.013006644294,25007.374414225433
218,25641.75523563886,25302.404216019528
219,25699.49546316722,25369.60737521652
220,26090.428405058505,25781.792339258445
221,25856.193832751756,25498.240450834783
222,25903.76616323488,25581.881834593016
223,25954.328941301155,25629.89102191783
224,25504.143718560925,25326.08608496895
225,26125.074602461253,25813.850830089996
226,25826.046820606414,25536.885423031905
227,25812.01044381234,25562.02668033563
228,26175.242971415173,25960.907658807777
229,26121.832641436304,26020.336062850158
230,26580.50691483118,26434.813741574682
231,26106.723156393276,25996.153874772037
232,26101.004285344166,25991.90126535548
233,25824.44078791454,25749.74709520559
234,25615.288265275805,25533.514609589805
235,26114.059130242495,26032.15567770379
236,25649.395491435596,25635.364796286067
237,25895.146024336864,25890.724381109194
238,26314.393497485624,26271.797190757516
239,26524.086603137617,26518.907078814285
240,27169.15466857505,27101.982343096177
241,27327.951273134924,27249.915975306765
242,27218.163363467585,27125.50878374489
243,27338.182963643885,27175.750902679152
244,27536.152377930666,27269.854217662614
245,27942.15041274984,27689.790012407073
246,27955.84974074915,27742.38778870253
247,27954.0888820318,27659.041956865545
248,27974.18585272581,27635.168194009497
249,28214.868740346705,27818.452035946368
250,28655.477368206317,28283.184130905578
251,28225.74216129336,27979.08169484409
252,28182.748310760726,27936.810957446924
253,28084.4911920415,27860.479276048132
254,27715.48390783888,27553.913146233703
