date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source,cluster_id,cluster_decision,cluster_block_reason
0,M,buy,5.731620865581021,15.493484245491029,88.8027775820072,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
0,TFC,buy,1.8660330403774257,42.68470938034058,79.65107802262375,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
0,GEN,buy,2.7319315089076284,29.129967875289918,79.58107709197152,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
5,GEN,sell,2.7319315089076284,26.960050582885742,73.54989745279225,,trailing_stop,-6.031179639179271,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
5,SNY,buy,1.5969950756606908,42.70892460021973,68.20594227331465,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
6,TFC,sell,3.546426152757684,39.72175216674805,140.67304235250995,,trailing_stop,-6.699349931457903,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
10,PDD,buy,0.6704130611679832,99.00842075042725,66.3765384367016,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
12,M,sell,14.906136471246043,15.817877769470215,235.4533478946079,,trailing_stop,0.5762843415000702,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
15,TFC,buy,1.8715637838662134,41.226367913818365,77.15777712784654,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
15,GEN,buy,2.862979494568352,26.773867855453492,76.6530346604461,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
20,M,buy,4.754678981193102,13.75257839984894,65.38909545497202,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
37,M,sell,13.409424758426061,13.77108097076416,184.40374693588743,,trailing_stop,-3.3525279420763354,17,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
45,M,buy,3.1013561550032924,14.479877314567567,44.907256633226666,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
50,M,sell,3.1013561550032924,13.686189651489258,42.38632446626871,,trailing_stop,-2.520932166957955,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
50,FE,buy,0.8700551189261192,41.00024077377319,35.672469362424756,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
52,PDD,sell,2.058331425069679,113.69000244140625,233.68408835475705,,trailing_stop,8.143969861615972,42,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,2,,
54,TFC,sell,5.311405903833872,41.31372833251953,219.12677300192834,,trailing_stop,-4.438090611806359,39,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
