day,strategy,benchmark
0,4999.6499474733355,5000.0
1,5002.428105116296,5002.406477080496
2,5023.79211942453,5034.954387374157
3,5007.297971486081,5021.3161148437775
4,5057.854016326519,5077.242627710753
5,5402.92635808608,5406.876166078638
6,5430.159993415709,5444.993361729721
7,5474.578780006244,5479.522541384926
8,5545.9892142328445,5558.727916289609
9,5563.235037019859,5581.623024462097
10,5950.976771332162,5973.454970175051
11,5997.773837678678,5984.5967626105075
12,5958.379575756122,5958.731677771439
13,5927.833630821236,5918.674281158252
14,5901.041427278154,5900.502338715093
15,6302.7698168427505,6309.389873213653
16,6315.623182936788,6350.883918543653
17,6297.964955545738,6316.045279324016
18,6288.5673326359665,6323.409002489153
19,6357.251693975682,6377.932412517799
20,6696.998805018139,6701.089184847823
21,6691.1593237110455,6705.019288652858
22,6682.526702047388,6691.114268276671
23,6641.7141075917125,6629.60117242133
24,6539.093374296943,6520.023654126062
25,6933.739360536176,6905.364400243278
26,6949.638837362654,6934.4015255450795
27,6868.8403735771335,6832.5266055016045
28,6884.72844689581,6835.253729314436
29,6933.654376153099,6874.88062137601
30,7323.756604965613,7258.19561419219
31,7289.556481128546,7255.309967153695
32,7188.725125416107,7158.189073737653
33,7239.906996366266,7210.314614943585
34,7249.602508146844,7207.598963414212
35,7709.476097393955,7693.172457482618
36,7723.325562420256,7742.4265514649
37,7777.058923094632,7782.7248429991405
38,7809.051966096738,7814.604161447545
39,7745.415056398968,7766.963375033822
40,8098.075909966574,8128.276135482583
41,8183.4897797969315,8213.798636263245
42,8197.933497608285,8213.420842691836
43,8070.990487833258,8103.976951158835
44,7991.850455566138,8032.770276479723
45,8309.692086984924,8334.064737229208
46,8259.33583139922,8319.620874197963
47,8338.557302138366,8382.344681037512
48,8205.777450658527,8262.041038764453
49,8167.197520501051,8163.106339594036
50,8508.782872657144,8526.104258733962
51,8578.664035906044,8628.039491628293
52,8634.779510308845,8682.226982374823
53,8708.036095465424,8774.819612069634
54,8879.93669478695,8942.984508714397
55,9400.076797054384,9424.57426709755
56,9371.435075056075,9446.254304228225
57,9371.076435561476,9473.1400077052
58,9374.816785721157,9480.077483062852
59,9299.749601305837,9406.144870294844
60,9821.117207069097,9952.926093974325
61,9798.792653897843,9943.439350399676
62,10035.8493497801,10136.349745549656
63,10069.12496358682,10157.808177751043
64,10054.476144574386,10170.23290301149
65,10500.52207101852,10582.880946173014
66,10569.282863664228,10664.347558966843
67,10514.864437835527,10641.102322201948
68,10536.82214298124,10682.185981304086
69,10553.432790151757,10688.760638082482
70,10930.605699136968,11069.508978672693
71,10928.305682432494,11080.471115457853
72,10951.8326517303,11072.676073805445
73,10978.29826347726,11116.274627480407
74,11086.133715234502,11182.036712275669
75,11466.20343904818,11523.337326311559
76,11402.975922049449,11521.06685275012
77,11358.2054306357,11474.63971999852
78,11430.098777167821,11562.195949049223
79,11463.818792393316,11611.903272610894
80,11913.533937897137,12057.068060194852
81,11946.589529736084,12112.135903522585
82,12158.116618516564,12279.164401126887
83,12289.590509755886,12318.572526794589
84,12265.357886001102,12298.289996061028
85,12694.145626858552,12767.468676379827
86,12786.291544916496,12845.105110420871
87,12598.55022783122,12667.10727328193
88,12762.204235903784,12787.21539361292
89,12804.259100571266,12812.915221441046
90,13268.856152491242,13267.017443406188
91,13308.644521302962,13291.004261056856
92,13320.43626352149,13296.02553070617
93,13228.248615920325,13257.533794772235
94,13150.120465946042,13183.34040306136
95,13401.21333567295,13475.675670432585
96,13375.197601061276,13432.268366395645
97,13392.566402765453,13450.666623782014
98,13569.70484931191,13642.687787590918
99,13529.832073372672,13621.991888830884
100,13959.791511674579,14099.030028352881
101,13933.04942612088,14092.81623267652
102,13941.18357558145,14102.579443440633
103,13892.661614476176,14050.805852949981
104,13791.164371383486,13972.702949964434
105,14288.68289455328,14496.958453891053
106,14456.403232971294,14677.679930533119
107,14544.638663434012,14708.713663032839
108,14543.305121180185,14751.611747260758
109,14546.131698291521,14767.735855378984
110,15026.719698596704,15248.056829675275
111,15003.461015373872,15228.687488455094
112,15107.191290838853,15349.287845435274
113,15033.859222898885,15337.415428798646
114,14831.87548957243,15087.151195585486
115,15405.652106077996,15684.612664759108
116,15445.577981799612,15849.730222421727
117,15371.32468422503,15792.019758483166
118,15418.03804613247,15837.868822931341
119,15500.142888343802,15969.962869061435
120,15980.025326129333,16377.01757665798
121,16089.150334974976,16471.666882538095
122,16136.176330021637,16464.435553552416
123,15846.406217955666,16237.669444580788
124,16026.234798478112,16385.232044855908
125,16580.34694803701,16898.2858404546
126,16503.49159316634,16814.133732395978
127,16411.704680126473,16721.565885766628
128,16407.92829820901,16736.711681922578
129,16691.007691865045,17083.087986317296
130,17096.143405127885,17494.866642621168
131,17122.797828644358,17430.792924583788
