day,strategy,benchmark
0,5000.0,5000.0
1,5031.543419868505,5042.160238081345
2,5005.731779249933,5014.150668144949
3,4985.464883124734,4990.079943980861
4,4985.979114393057,4992.924665927525
5,5315.979877462556,5348.940888136781
6,5356.129765323459,5386.62503128808
7,5309.177282318877,5356.588088734429
8,5235.4185026835485,5286.423052323013
9,5285.470572339111,5332.700441506722
10,5684.006930987627,5724.186032593877
11,5681.514978605235,5716.981427316972
12,5596.759191612029,5630.187123745791
13,5576.482020318088,5598.317340403248
14,5630.914241690117,5655.276102121836
15,6052.61467633546,6070.1091129860515
16,5977.924701662518,5985.44916616687
17,5974.545799052741,5970.658628834044
18,5868.64779732189,5885.091287086469
19,5938.750193449263,5946.884881710115
20,6330.171637564397,6326.922193285441
21,6371.948938978564,6362.180463262414
22,6268.609834639044,6248.5597196278295
23,6189.846844177118,6142.01000266445
24,6153.307974809409,6121.474966304236
25,6715.634538015395,6699.412993633078
26,6764.443330006481,6749.889857533195
27,6778.615838363542,6755.967684002801
28,6808.009143703767,6787.902026470221
29,6817.051309534087,6790.889432701046
30,7395.106535130574,7363.849952064916
31,7435.825511891247,7406.333073339827
32,7439.335572904033,7401.431174731184
33,7504.587339999962,7473.761411978726
34,7585.924104929319,7564.827795019307
35,8015.836728589852,8024.522026964568
36,8041.527756829851,8044.241114152582
37,8146.929775323557,8141.460799823724
38,8144.5386160611515,8125.181088308038
39,8087.085798452769,8071.9854112426965
40,8555.072375607644,8553.727906388363
41,8557.322777680232,8520.533366067457
42,8645.211477134093,8586.56163648839
43,8643.015220292396,8601.354855544445
44,8589.026647941197,8559.500869922433
45,8994.478615428727,8958.177899112541
46,9114.457285378792,9047.308987009497
47,9132.926026989855,9072.361369059632
48,9087.879646083835,9039.126048148903
49,9189.859678953178,9111.639475590495
50,9750.966449267602,9638.28619087911
51,9671.678799493504,9608.734191193245
52,9798.191135566542,9688.064892572187
53,9837.061319444618,9710.130385670966
54,9768.52305485606,9695.420056938447
55,10223.001247696851,10149.66439413961
56,10265.086665312974,10229.788645934223
57,10081.796772534344,10106.730921334989
58,10080.981779765849,10099.620919469256
59,10031.586674813894,10032.34936335501
60,10593.90132946484,10535.170928797925
61,10623.116481837033,10556.063611786569
