day,strategy,benchmark
0,4999.329377561983,5000.0
1,4976.685480276374,4974.237031785322
2,4984.056408636388,4973.249551056793
3,4985.006875525833,4994.485244859424
4,4960.480756585929,4973.908212464533
5,5239.287989296596,5225.667973693636
6,5213.438441391574,5224.063697181479
7,5259.152112639935,5286.809349403212
8,5288.218195916459,5318.469029236307
9,5319.998823739496,5377.583046882022
10,5725.338710359048,5777.940783377311
11,5680.525349976058,5717.119207997675
12,5638.245772121754,5651.878864371135
13,5632.73242173275,5631.315855329865
14,5640.542205750497,5617.480059506281
15,6104.1434658685685,6087.717472542508
16,6125.891013665135,6122.78678380234
17,6081.598941008297,6053.574707884029
18,6077.046123287759,6062.418611113978
19,6015.425742021216,5969.861381652324
20,6431.471181417304,6379.1172956390255
21,6454.995610424168,6387.89450963126
22,6548.68335296962,6504.090854352204
23,6572.333015698001,6491.582356263263
24,6612.0658543819645,6556.757535323179
25,7059.610212479063,7016.774003504308
26,7054.171249181547,7056.218574281469
27,7073.677478543947,7094.731570754274
28,7048.777536145262,7074.020793528434
29,6969.871474652077,6973.956168308745
30,7377.655863279562,7433.878802854431
31,7348.359798878363,7400.554083228252
32,7391.816549746216,7440.272671715416
33,7341.590177377825,7400.675914717804
34,7301.977892079547,7350.872724683076
35,7741.409691878539,7800.184020078742
36,7753.299990268265,7831.810672988039
37,7790.374924170482,7859.030221440416
38,7775.291658234988,7787.092728729837
39,7842.913485400415,7839.977179607811
40,8238.772908907868,8245.94053530166
41,8228.411728748542,8219.375455794128
42,8302.010296239037,8306.151228955725
43,8309.74774841946,8305.743807198442
44,8361.21375116857,8330.127535434054
45,8775.483812393853,8749.74451346178
46,8763.26157110088,8713.343274948937
47,8628.766949938192,8564.308661456806
48,8575.74539846704,8525.336946229087
49,8544.675845224465,8482.939107291992
50,8954.05187038383,8887.220877995866
51,8859.549350630707,8745.364599448802
52,8955.105823593238,8881.841335447805
53,8844.918392956479,8726.231680658208
54,8793.54517835575,8622.940206010813
55,9260.578821480007,9115.617913555903
56,9123.422403745142,8953.805642162275
57,9194.336247643365,9003.990496089285
58,9042.807600995398,8764.163236110206
59,8979.324403058781,8691.310007577587
60,9393.91211720545,9137.428958987362
61,9321.366798160798,9015.623205484872
62,9473.371015833254,9201.847361475526
63,9545.090312775541,9272.805806083343
64,9488.54832241802,9172.581179185288
65,9955.442893904368,9672.478803977361
66,9938.97599157318,9644.508966552694
67,9907.94129154083,9647.690885380729
68,10023.854055745413,9820.464959096054
69,10005.923503507871,9844.07325494761
70,10351.979524263246,10126.551358850604
71,10308.153199242428,10099.656649346687
72,10197.410123968195,9896.267951301941
73,10243.261339024973,9962.701545089834
74,10264.241444452273,9990.839781696033
75,10709.447899847004,10454.06505357017
76,10241.270320934527,9938.880297045514
77,9869.411539010616,9357.029407248181
78,9820.928723285628,9340.362159407074
79,9678.777766871757,9194.066160308437
80,10616.331488599095,10559.621011919808
81,10345.398359830926,10096.909040852353
82,10462.817147270565,10277.066403728119
83,10529.429550251825,10376.767515018839
84,10526.423941627794,10347.704164590268
85,10791.063091695796,10517.695057821444
86,10834.735318034163,10532.70180281102
87,10662.890178875738,10281.995037362281
88,10849.505212633538,10549.510740651018
89,10948.869783360224,10712.977908189947
90,11429.203594875275,11338.475590165168
91,11453.30003407132,11420.40035903203
92,11468.669529300993,11424.756261502725
93,11503.841788195925,11496.723401470526
94,11509.728678255886,11501.286727868399
95,11943.858336750916,11982.795368486297
96,12118.510564688426,12160.670854853295
97,12033.7548326203,12090.935345635757
98,11934.40685432951,11989.876742802995
99,11976.33649206165,12040.29941297499
100,12395.47969561485,12524.193696990731
101,12407.676108905413,12508.236428814096
102,12667.197628438356,12921.601100536382
103,12713.785862911733,13006.933214693434
104,12731.00509744936,13023.555483070193
105,13207.968148071996,13487.168362296037
106,13273.436120355775,13572.597141996855
107,13270.328879821083,13587.44445013244
108,13238.657239050965,13541.758906493287
109,13029.76380637833,13313.570911194574
110,13398.00685963544,13718.825073044056
111,13342.175997822258,13625.183377266887
112,13559.315033174451,13908.460037507704
113,13486.686511557215,13827.992378967994
114,13479.105512478558,13882.576758172368
115,13867.605981295364,14267.0511480256
116,13912.833985394564,14347.416036656292
117,13991.8542971839,14429.231970451558
118,14008.597604252163,14425.360026042279
119,13993.033314550776,14355.644105323787
120,14503.29702596142,14903.061925503796
121,14550.224870534648,14916.493800198208
122,14614.676796120606,15001.066853678805
123,14578.266884845167,14958.28356102292
124,14624.08074935403,15017.72962632189
125,14884.167350985623,15249.831960440675
126,14985.584631631573,15394.92343494096
127,14867.906550837652,15263.370172843915
128,14877.742198310036,15261.07096332919
129,14844.948264651171,15225.229787848602
130,15300.319325616068,15775.616698254546
131,15526.607788028028,15949.893232915008
132,15462.481678362612,15958.830988944646
133,15572.5802959246,16083.689369656298
134,15641.87320240333,16163.598474433955
135,16110.855820319472,16640.881587532374
136,16156.266516679374,16635.49527849187
137,16255.05083180678,16710.908578566825
138,16325.564893254379,16842.61369873114
139,16155.166270567062,16717.10225372082
140,16586.897784579593,17107.946025702746
141,16665.12820748079,17210.535992772486
142,16763.93288909603,17259.075043296056
143,16711.54569703632,17198.40207890445
144,16765.640736437992,17231.21864618156
145,17123.65278245057,17557.58677042055
146,17189.75503219694,17616.285138573978
147,17334.279862777836,17724.0913421776
148,17256.29291616483,17711.109989000404
149,17265.49437101832,17744.69335591793
150,17649.88583464024,18147.232997072097
151,17806.44949480067,18301.621328047288
152,17779.882135496715,18307.68012595976
153,17840.00645046085,18385.018167914935
154,17826.47528418893,18380.401687183617
155,18210.91954493514,18731.918870115027
156,18172.658381180492,18708.33099651013
157,18009.615913953086,18638.153624016028
158,17749.499046638794,18332.663798680453
159,17988.71942951739,18611.3168820091
160,18323.100966940015,18916.958127548387
161,18352.779275872046,19061.855978013165
162,18383.98178803431,19045.889308484057
163,18437.45229932962,19194.4010294531
164,18393.370835521255,19156.445190960374
165,19031.504166148596,19760.386899027686
166,19139.73788407487,19828.027718180812
167,19114.509335320632,19829.871039796188
168,19011.044418362464,19783.445451965814
169,19025.01614324533,19779.139952299513
170,19302.862991587346,20071.835545451268
171,19239.031541106888,20018.50299978642
172,19182.184406331224,19938.192323288316
173,19523.08870201913,20244.38088083208
174,19457.78586833049,20155.28218104129
175,19933.487098223864,20639.673080175613
176,20005.960402390185,20686.700849425124
177,20080.240753880087,20759.959960864264
178,19940.817872565323,20636.154169546317
179,19797.122095819475,20483.23416801339
180,20231.17732838753,20994.24427871065
181,20409.96362800371,21169.700745351336
182,20488.843485843456,21108.390148534945
183,20538.11059138906,21160.243793560294
184,20520.049504787894,21209.1645991531
185,21020.981740852145,21670.47720338868
186,21274.436171180052,21850.564605812968
187,21220.75062645515,21843.253124765135
188,21293.227371518573,21959.543509061852
189,21268.838401405825,21929.309767990497
190,21665.55182094445,22302.064019593516
191,21973.84220141421,22406.269190285806
192,21934.726589543046,22517.24463576767
193,22049.8119914212,22623.77389955906
194,22086.775923742447,22500.621955555314
195,22349.303962487873,22829.033224036903
196,22310.628157673673,22723.711536593564
197,22422.80958240518,22853.898960540642
198,22465.631700832746,22918.126791228548
199,22522.383262243216,23004.45632121954
200,22979.364353167643,23482.845603239934
201,23320.335095341743,23509.89106899358
202,23451.84010968286,23509.54388991637
203,23538.61972645601,23593.854495883203
204,23378.151303654406,23506.380463169393
