segment,variant,start_day,end_day,excess_delta_vs_current,return_delta_vs_current
all,neutral_070_4,461,506,-0.0013092030381980369,-0.0013092030381980369
all,neutral_070_4,462,507,0.0038211309468255683,0.0038211309468255683
all,neutral_070_4,463,508,0.0038245050775740363,0.0038245050775740363
all,neutral_070_4,464,509,-0.0014687582890199335,-0.0014687582890199335
all,neutral_070_4,465,510,-0.0004703671475699833,-0.0004703671475699833
all,neutral_070_4,466,511,-0.0006540028918269325,-0.0006540028918269325
all,neutral_070_4,467,512,0.008174292179705334,0.008174292179705334
all,neutral_070_4,468,513,0.004741993766331554,0.004741993766331554
all,neutral_070_4,469,514,-0.006377548165000468,-0.006377548165000468
all,neutral_070_4,470,515,-0.003537018899633537,-0.003537018899633537
all,neutral_070_4,471,516,-0.002915130663396215,-0.002915130663396215
all,neutral_070_4,472,517,0.010722368743938948,0.010722368743938948
all,neutral_070_4,473,518,0.008971690387318043,0.008971690387318043
all,neutral_070_4,474,519,-0.0063330747250245345,-0.0063330747250245345
all,neutral_070_4,475,520,-0.005879840098015454,-0.005879840098015454
all,neutral_070_4,476,521,-0.005482113461523386,-0.005482113461523386
all,neutral_070_4,477,522,0.021295987431063423,0.021295987431063423
all,neutral_070_4,478,523,0.020905635231069253,0.020905635231069253
all,neutral_070_4,479,524,-0.003259357034103516,-0.003259357034103516
all,neutral_070_4,480,525,-0.003451919563990269,-0.003451919563990269
all,neutral_070_4,481,526,-0.0019226157786930154,-0.0019226157786930154
all,neutral_070_4,482,527,-0.0020482680710116608,-0.0020482680710116608
all,neutral_070_4,483,528,-0.003626813002053586,-0.003626813002053586
all,neutral_070_4,484,529,-0.00365002713591267,-0.00365002713591267
all,neutral_070_4,485,530,-0.002408553097962507,-0.002408553097962507
all,neutral_070_4,486,531,-0.005067422258222765,-0.005067422258222765
all,neutral_070_4,487,532,-0.001605041426700593,-0.001605041426700593
all,neutral_070_4,488,533,-0.005803406485634266,-0.005803406485634266
all,neutral_070_4,489,534,-0.005992735584063658,-0.005992735584063658
all,neutral_070_4,490,535,-0.005470416307207793,-0.005470416307207793
all,neutral_070_4,491,536,-0.006041872097449219,-0.006041872097449219
all,neutral_070_4,492,537,-0.007025688999880986,-0.007025688999880986
all,neutral_070_4,493,538,-0.005355309231898309,-0.005355309231898309
all,neutral_070_4,494,539,-0.00578807730956965,-0.00578807730956965
all,neutral_070_4,495,540,-0.006117351135824234,-0.006117351135824234
all,neutral_070_4,496,541,-0.005449490862934336,-0.005449490862934336
all,neutral_070_4,746,791,-0.005219076020298585,-0.005219076020298585
all,neutral_070_4,747,792,-0.0064049470170839395,-0.0064049470170839395
all,neutral_070_4,748,793,-0.00629331551525536,-0.00629331551525536
all,neutral_070_4,749,794,-0.005481094787928464,-0.005481094787928464
all,neutral_070_4,750,795,-0.004070458705472291,-0.004070458705472291
all,neutral_070_4,751,796,-0.003875492740840425,-0.003875492740840425
all,neutral_070_4,752,797,-0.004471878573375054,-0.004471878573375054
all,neutral_070_4,753,798,-0.0023273956556741915,-0.0023273956556741915
all,neutral_070_4,754,799,-0.002662323023620461,-0.002662323023620461
all,neutral_070_4,755,800,-0.001961623754204611,-0.001961623754204611
all,neutral_070_4,756,801,0.0003757208107129095,0.0003757208107129095
all,neutral_070_4,757,802,-0.0005245703831000537,-0.0005245703831000537
all,neutral_070_4,758,803,-0.001810333758296645,-0.001810333758296645
all,neutral_070_4,759,804,-0.0019056625580544662,-0.0019056625580544662
all,neutral_070_4,760,805,-0.0006882820948235224,-0.0006882820948235224
all,neutral_070_4,761,806,0.0012228980123314415,0.0012228980123314415
all,neutral_070_4,762,807,0.00021641029131247436,0.00021641029131247436
all,neutral_070_4,763,808,0.0020328651465815195,0.0020328651465815195
all,neutral_070_4,764,809,0.0017793000510553103,0.0017793000510553103
all,neutral_070_4,765,810,0.001591377730595367,0.001591377730595367
